Year,Month,Day,Type,Mag
-444,5,25,Partial,0.038
-443,10,9,Partial,0.214
-442,4,4,Total,1.29
-441,3,25,Total,1.035
-441,9,18,Partial,0.875
-439,2,1,Partial,0.427
-439,7,28,Partial,0.271
-438,7,17,Total,1.708
-436,11,20,Partial,0.198
-435,5,16,Partial,0.973
-435,11,9,Total,1.481
-434,5,5,Total,1.28
-432,3,15,Partial,0.276
-431,3,4,Total,1.599
-430,8,17,Partial,0.993
-428,1,2,Partial,0.147
-428,12,21,Total,1.451
-427,6,16,Total,1.693
-427,12,10,Partial,0.94
-424,4,14,Total,1.17
-424,10,9,Total,1.405
-423,9,28,Partial,0.925
-420,2,2,Total,1.639
-420,7,27,Total,1.597
-419,1,21,Partial,0.686
-419,7,17,Partial,0.836
-417,11,20,Total,1.478
-416,11,9,Total,1.026
-413,3,16,Total,1.515
-413,9,8,Total,1.232
-412,3,4,Partial,0.889
-412,8,27,Total,1.08
-410,1,12,Partial,0.121
-410,7,8,Partial,0.54
-409,1,1,Total,1.44
-409,12,21,Partial,0.949
-408,6,16,Partial,0.334
-407,10,31,Partial,0.171
-406,10,20,Total,1.378
-405,4,15,Total,1.268
-405,10,10,Partial,0.962
-403,2,23,Partial,0.305
-403,8,18,Partial,0.088
-402,2,12,Total,1.583
-401,2,1,Partial,0.735
-401,7,28,Partial,0.945
-400,12,11,Partial,0.205
-398,11,20,Total,1.027
-397,5,16,Partial,0.235
-396,4,5,Partial,0.083
-395,9,18,Total,1.167
-394,3,16,Partial,0.975
-394,9,8,Total,1.154
-392,1,23,Partial,0.086
-392,7,19,Partial,0.416
-391,1,11,Total,1.422
-391,7,8,Total,1.749
-390,6,27,Partial,0.482
-389,11,11,Partial,0.161
-388,5,6,Partial,0.908
-387,4,26,Total,1.394
-387,10,20,Partial,0.991
-386,4,15,Partial,0.083
-385,3,6,Partial,0.223
-385,8,30,Partial,0.015
-384,8,18,Total,1.406
-382,12,23,Partial,0.206
-381,6,18,Partial,0.484
-381,12,12,Total,1.474
-380,6,6,Total,1.77
-379,5,26,Partial,0.391
